date, rr, since start
2015-09-12 21:32:37 +0000, 960, 147173
2015-09-12 21:32:39 +0000, 1020, 148193
2015-09-12 21:32:39 +0000, 1019, 149212
2015-09-12 21:32:40 +0000, 951, 150163
2015-09-12 21:32:41 +0000, 968, 151131
2015-09-12 21:32:43 +0000, 987, 152118
2015-09-12 21:32:43 +0000, 978, 153096
2015-09-12 21:32:44 +0000, 982, 154078
2015-09-12 21:32:45 +0000, 952, 155030
2015-09-12 21:32:47 +0000, 904, 155934
2015-09-12 21:32:47 +0000, 827, 156761
2015-09-12 21:32:47 +0000, 729, 157490
2015-09-12 21:32:48 +0000, 792, 158282
2015-09-12 21:32:49 +0000, 915, 159197
2015-09-12 21:32:50 +0000, 915, 160112
2015-09-12 21:32:51 +0000, 860, 160972
2015-09-12 21:32:52 +0000, 916, 161888
2015-09-12 21:32:53 +0000, 936, 162824
2015-09-12 21:32:53 +0000, 936, 163760
2015-09-12 21:32:54 +0000, 926, 164686
2015-09-12 21:32:55 +0000, 854, 165540
2015-09-12 21:32:56 +0000, 826, 166366
2015-09-12 21:32:57 +0000, 850, 167216
2015-09-12 21:32:58 +0000, 775, 167991
2015-09-12 21:32:58 +0000, 768, 168759
2015-09-12 21:32:59 +0000, 858, 169617
2015-09-12 21:33:01 +0000, 962, 170579
2015-09-12 21:33:01 +0000, 932, 171511
2015-09-12 21:33:02 +0000, 933, 172444
2015-09-12 21:33:03 +0000, 995, 173439
2015-09-12 21:33:04 +0000, 956, 174395
2015-09-12 21:33:06 +0000, 913, 175308
2015-09-12 21:33:06 +0000, 969, 176277
2015-09-12 21:33:07 +0000, 941, 177218
2015-09-12 21:33:08 +0000, 866, 178084
2015-09-12 21:33:10 +0000, 788, 178872
2015-09-12 21:33:10 +0000, 762, 179634
2015-09-12 21:33:10 +0000, 769, 180403
2015-09-12 21:33:11 +0000, 744, 181147
2015-09-12 21:33:12 +0000, 714, 181861
2015-09-12 21:33:12 +0000, 758, 182619
2015-09-12 21:33:14 +0000, 840, 183459
2015-09-12 21:33:14 +0000, 874, 184333
2015-09-12 21:33:15 +0000, 873, 185206
2015-09-12 21:33:17 +0000, 919, 186125
2015-09-12 21:33:17 +0000, 901, 187026
2015-09-12 21:33:18 +0000, 798, 187824
2015-09-12 21:33:18 +0000, 789, 188613
2015-09-12 21:33:19 +0000, 771, 189384
2015-09-12 21:33:20 +0000, 722, 190106
2015-09-12 21:33:21 +0000, 705, 190811
2015-09-12 21:33:21 +0000, 665, 191476
2015-09-12 21:33:22 +0000, 645, 192121
2015-09-12 21:33:22 +0000, 626, 192747
2015-09-12 21:33:23 +0000, 612, 193359
2015-09-12 21:33:24 +0000, 600, 193959
2015-09-12 21:33:24 +0000, 581, 194540
2015-09-12 21:33:25 +0000, 581, 195121
2015-09-12 21:33:25 +0000, 583, 195704
2015-09-12 21:33:26 +0000, 579, 196283
2015-09-12 21:33:27 +0000, 579, 196862
2015-09-12 21:33:27 +0000, 601, 197463
2015-09-12 21:33:28 +0000, 607, 198070
2015-09-12 21:33:28 +0000, 609, 198679
2015-09-12 21:33:29 +0000, 634, 199313
2015-09-12 21:33:30 +0000, 677, 199990
2015-09-12 21:33:30 +0000, 671, 200661
2015-09-12 21:33:31 +0000, 668, 201329
2015-09-12 21:33:32 +0000, 645, 201974
2015-09-12 21:33:32 +0000, 670, 202644
2015-09-12 21:33:33 +0000, 642, 203286
2015-09-12 21:33:34 +0000, 630, 203916
2015-09-12 21:33:34 +0000, 619, 204535
2015-09-12 21:33:35 +0000, 636, 205171
2015-09-12 21:33:36 +0000, 661, 205832
2015-09-12 21:33:36 +0000, 687, 206519
2015-09-12 21:33:37 +0000, 693, 207212
2015-09-12 21:33:38 +0000, 746, 207958
2015-09-12 21:33:38 +0000, 765, 208723
2015-09-12 21:33:39 +0000, 752, 209475
2015-09-12 21:33:40 +0000, 708, 210183
2015-09-12 21:33:41 +0000, 649, 210832
2015-09-12 21:33:41 +0000, 633, 211465
2015-09-12 21:33:42 +0000, 644, 212109
2015-09-12 21:33:43 +0000, 674, 212783
2015-09-12 21:33:43 +0000, 675, 213458
2015-09-12 21:33:44 +0000, 748, 214206
2015-09-12 21:33:45 +0000, 811, 215017
2015-09-12 21:33:46 +0000, 806, 215823
2015-09-12 21:33:46 +0000, 812, 216635
2015-09-12 21:33:47 +0000, 814, 217449
2015-09-12 21:33:48 +0000, 831, 218280
2015-09-12 21:33:49 +0000, 821, 219101
2015-09-12 21:33:50 +0000, 844, 219945
2015-09-12 21:33:51 +0000, 886, 220831
2015-09-12 21:33:51 +0000, 846, 221677
